IAB Keyword,One_Hop_Edges_Count,10 Examples
Home & Garden,4234,"['Qiuxia_Garden', 'Home_Town_Hero', 'Home_to_Roost_(album)', 'Private_housing_estates_in_Hong_Kong', 'The_Man_Who_Stayed_at_Home_(play)', 'Huntington_Library', 'Garden_town_(disambiguation)', 'Home_Credit', 'Astor_Home_for_Children', 'Exbury_Gardens']"
Hobbies & Interests,421,"['Hobby:tech', 'Interest_of_the_company', 'List_of_hobbies', 'European_Centre_of_Enterprises_with_Public_Participation_and_of_Enterprises_of_General_Economic_Interest', 'List_of_sites_of_special_scientific_interest_in_the_Brecon_Beacons_National_Park', 'The_Hobby_Horse', 'Association_for_Behavioral_and_Cognitive_Therapies', 'Internet_forum', 'List_of_Sites_of_Special_Scientific_Interest_in_Somerset', 'Special_Interest_Group_on_Information_Retrieval']"
Video Gaming,232,"['Achievement_(video_games)', 'Incremental_game', '1982_in_video_games', 'Video_games_in_France', 'Video_games_in_Ireland', 'Lag', 'Game_replay', '2000s_in_video_games', 'Glossary_of_video_game_terms', '1979_in_video_games']"
Technology & Computing,3915,"['Resource_(disambiguation)', 'Gateway_Technology', 'Ministry_of_Industry,_Science,_Technology_and_Innovation_(Cambodia)', 'Power_Computing_Corporation', 'ISAM', 'Directorate_for_Science_and_Technology', 'Crystal_Computing', 'Power_electronics', 'Tennessee_Colleges_of_Applied_Technology', 'Technology_in_veterinary_medicine']"
Healthy Living,19,"['Lifestyle_(sociology)', 'Self-care', 'MSN', 'Advance_healthcare_directive', 'BC_Healthy_Living_Alliance', 'Health', 'Wellness', 'Russia', 'Another_Mother_for_Peace', 'Fitness and Exercise']"
Sports,1960,"['1._Oberösterreichischer_Rugby_Sport_Club', 'Drought_(sport)', 'Submission_(combat_sports)', 'Sunday_Sport', 'Palace_of_Sports', 'RSN_Racing_&_Sport', 'Sport_in_Saint_Petersburg', 'Cross_country_running', 'Al-Najma_SC', 'Leixões_S.C.']"
Food & Drink,2686,"[""Cupid's_Kitchen"", 'Richard_Caring', ""DeMet's_Candy_Company"", 'Potted_meat_food_product', 'Food_industry', 'Fruit_snack', 'La_Vie_Claire', 'Taho', 'Health_effects_of_wine', ""Frankie's""]"
Fine Art,408,"['State_Academy_of_Fine_Arts_Stuttgart', 'Banff_Centre_for_Arts_and_Creativity', 'Nationalmuseum', 'Museum_of_Fine_Arts_of_Lyon', 'Jan_Matejko_Academy_of_Fine_Arts', 'Norwegian_National_Academy_of_Fine_Arts', 'Scheps_v_Fine_Art_Logistic_Ltd', 'San_Diego_State_University_College_of_Professional_Studies_&_Fine_Arts', 'National_Museum_of_Fine_Arts_(Manila)', 'Texas_Christian_University']"
Religion & Spirituality,3009,"['Religion_in_the_Republic_of_the_Congo', 'Vincent_Mantsoe', 'Religion_in_Montenegro', 'List_of_Fraggle_Rock_characters', 'Jess_Stearn', 'Thea_Bowman', 'Soul_Rush', 'Religion_&_Ethics_Newsweekly', 'Indian_religions', 'Robin_Kankapankatja']"
Family and Relationships,3928,"['Fabolous', 'Hominidae', 'American_College_of_Osteopathic_Family_Physicians', '1998_Family_Circle_Cup_–_Singles', 'Running_in_the_Family_(memoir)', 'Royal_Family_Order_of_Elizabeth_II', 'Harlay', 'The_Gonzaga_Family_in_Adoration_of_the_Holy_Trinity', 'Family_Life_Network', 'Family_Table_Tennis']"
Style & Fashion,3090,"['Louis_Hippolyte_Leroy', 'Culture_jamming', 'Ivar_(brand)', 'Doggy_style_(disambiguation)', 'Viktor_&_Rolf', 'Pabst_Brewing_Company', 'Homorhythm', 'I-house', 'Style_Savvy:_Trendsetters', 'William_Style']"
Business and Finance,2964,"['Glossary_of_economics', 'List_of_museums_and_cultural_institutions_in_New_York_City', 'Marquette_University_College_of_Business_Administration', 'Virgin_Money', 'NIU_College_of_Business', 'Diploma_of_Financial_Studies', 'NCBA_Group_Plc', 'Association_for_Corporate_Growth', 'Cloud_Elements', 'Ultimate_oscillator']"
Religious Events,3,"['Religious_Studies_Center', 'Syria', 'Sport']"
Air Travel,54,"['Air_transport_in_the_United_Kingdom', 'Universal_Air_Travel_Plan', 'Aircraft_Transport_and_Travel', 'Science_fiction', 'Air_Travel_(airline)', 'Airline_consolidator', 'Credit_card', 'Black_Wednesday_(air_travel)', 'MyTravel_Group', 'Smartwings']"
Musical Instruments,267,"['List_of_musical_instruments_by_Hornbostel–Sachs_number:_312.11', 'List_of_U.S._state_instruments', 'Pepa_(instrument)', 'ROLI_Seaboard', 'Barbra_Streisand...and_Other_Musical_Instruments', 'List_of_musical_instruments_by_Hornbostel–Sachs_number:_111.1', 'MIDI', 'Triangle_(musical_instrument)', 'Trigono_(instrument)', 'Bate_Collection_of_Musical_Instruments']"
Wellness,7,"['Paul_Weller', 'Orson_Welles', 'H._G._Wells', 'Wells,_Somerset', 'Tunbridge_Wells_F.C.', 'University_of_Iowa', 'Royal_Tunbridge_Wells']"
Asia Travel,22,"['Sri_Lanka', 'Azerbaijan', 'Japan', 'South_Korea', 'Turkey', 'Pakistan', 'Indonesia', 'History_of_rail_transport', 'Science_fiction', 'TLC_(Asian_TV_channel)']"
Consumer Electronics,967,"['Concealment_device', 'CNET', 'Toshiba', 'Darajani_Market', 'Umidigi', 'Allview', 'High-definition_optical_disc_format_war', 'Monolithic_Power_Systems', 'Usage_share_of_operating_systems', 'The_Verge']"
Graduation,897,"['Raffaele_Molin', 'Prisons_in_India', 'Duluth_Entertainment_Convention_Center', 'Gimnasio_Universitario_UACJ', 'Haruka_Kudō_(singer)', 'Laura_Allen', 'End_of_Course_Test', '2011_University_of_Cambridge_Chancellor_election', 'Lloyd_Christ_Wicke', 'Central_Medical_College']"
Travel Locations,11,"['Global_nomad', 'North America Travel', 'Science_fiction', 'Europe Travel', 'Polar Travel', 'Envisioning_Asia', 'Africa Travel', 'Iran', 'South America Travel', 'Australia and Oceania Travel']"
Commercial Trucks,16,"['Sri_Lanka', 'Prostitution', 'Los_Angeles', 'Trucking_industry_in_the_United_States', ""Commercial_driver's_license"", 'Track_(rail_transport)', 'Clydesdale_Motor_Truck_Company', 'Truck_classification', 'Eicher_Motors', 'Single_(music)']"
Theater Venues and Events,651,"['Yosemite_Firefall', 'Independence_(probability_theory)', 'Costs_in_English_law', 'Border_Wars_(2012)', 'Figure_skating_at_the_2014_Winter_Olympics_–_Team_event', 'Arctic_sea_ice_decline', '2012_–_Event_5', 'Beylerbeyi_event', 'Event_dispatching_thread', 'Event_loop']"
Station Wagon,2088,"['Rango_(video_game)', 'Dodge_Lancer', 'Tocumwal_railway_station', 'Mercury_Montego__1972–1976__1', 'Alfa_Romeo_Giulietta', 'Chevrolet_Kingswood__First_generation__1', 'Kaiser_Motors', 'Mercury_Marquis', 'Ford_Country_Squire__Eighth_generation_Panther__1', 'Dodge_Polara__First_generation__1']"
Dogs,3008,"['Ephesian_Tale', 'Wrong_(film)', 'Cuarenta', 'Wire-haired', 'Axe_Cop', 'Tiger_and_the_Duke', 'Pazuzu_(The_Exorcist)', 'Lightning_(dog)', 'List_of_Rescue_911_episodes', 'Vladimir_Kulich']"
Concerts & Music Events,782,"['Stephen_Colbert', 'Jane_Olivor', 'Dance_Again_World_Tour', 'Concert_of_The_Hague_(1659)', 'Live_in_Concert_1998', 'List_of_Mallu_Magalhães_concert_tours', 'Martin_Nievera', 'Michel_Polnareff', 'In_Concert_(TV_series)', 'Choir']"
Grocery Shopping,5,"['Shopping_bag', 'List_of_The_Price_Is_Right_pricing_games', 'Grocery_store', 'Shopping_cart', 'Retail']"
Hair Care,8,"['Hair_care', 'OMICS_Publishing_Group', 'Rusk_(hair_care)', 'AG_Hair', 'Bay_(horse)', 'The_Luke_&_Duane_Show', 'List_of_The_Suite_Life_of_Zack_&_Cody_episodes', 'Professional_wrestling_match_types']"
Landscaping,13,"['Landscape_design', 'Foodscaping', 'List_of_garden_features', 'Goat', 'Xeriscaping', 'Landscaping', 'Sustainable_landscaping', 'Patent_map', 'Natural_landscaping', 'Urban_park']"
Aviation Industry,22,"['China_Aviation_Industry_Corporation_II', 'CAIGA_Primus_150', 'China_Aviation_Industry_General_Aircraft', 'Dejen_Aviation_Engineering_Industry', 'Aviation_Industry_Computer-Based_Training_Committee', 'Stress_in_the_aviation_industry', 'Thai_Aviation_Industries', 'Microsoft_Windows', 'Aviation', 'Qods_Aviation_Industry_Company']"
Africa Travel,14,"['Spain', 'Central_European_Summer_Time', 'Africa_Travel_Association', 'Soul_music', 'Eastern_European_Summer_Time', 'Science_fiction', 'Tracey_Norman', 'West_Africa_Time', 'Eastern_European_Time', 'Mungo_Park_(explorer)']"
Cameras and Camcorders,845,"['PlayStation_Eye', 'Mars_Orbiter_Camera', 'Revere_Camera_Company', 'Underwater_videography', 'Single-camera_setup', 'Sousveillance', 'Colin_(film)', 'Murder_of_Daniel_Handley', 'Camera_Obscura_(2015_film)', ""Claire's_Camera""]"
Entertainment Industry,20,"['Entertainment_Industry_Foundation', 'Residual_(entertainment_industry)', 'Arcade_game', 'Bollywood', 'Silent_film', 'Jim_Chapman_(media_personality)', 'Entertainment', 'Hiding_in_Hip-Hop', 'Sex_industry', 'R_v_Department_of_Trade_and_Industry,_ex_parte_Broadcasting,_Entertainment,_Cinematographic_and_Theatre_Union']"
Beauty,561,"['The_Sleeping_Beauty_(1930_film)', 'Nature', 'Survivor:_Cagayan', 'The_Beauty_Queen_of_Leenane', 'Sexualization_in_child_beauty_pageants', 'Beauty_&_the_Beast_(2012_TV_series)', 'Oh_Uganda,_Land_of_Beauty', 'Beauty_and_the_Barge', 'Julia_Morley', 'Vengeful_Beauty']"
Oral care,219,"['Dental_surgery', 'Mucositis', 'Quip_(company)', 'Debridement_(dental)', 'Glossitis', 'Trismus', 'Buccal_bifurcation_cyst', 'Joe_Martin_(orangutan)', 'CAMBRA', 'List_of_Bobobo-bo_Bo-bobo_episodes']"
Smartphones,3642,"['Tecno_Camon_15', 'Panta_Rhei_(game_engine)', 'Tying_(commerce)', 'REX_OS', 'Samsung_Galaxy_M20', 'HTC_Desire_X', 'TeamViewer_(company)', 'Entertainment_Software_Rating_Board', 'Nokia_5800_XpressMusic', 'Selfie']"
Cats,2318,"['Bird_conservation', 'Home_(2003_film)', 'The_Tale_of_Ginger_and_Pickles', 'Pogeyan', 'Dave_Ellis_(game_designer)', 'Kākā', 'List_of_Secret_Squirrel_episodes', 'Tunga_penetrans', 'Yin_Yang_Yo!', 'California_Spangled']"
Auto Parts,72,"['Alsco_300_(Charlotte)', 'Central_European_Summer_Time', 'Transnistria_autonomous_territorial_unit', 'Chevrolet', 'NASCAR_Gander_RV_&_Outdoors_Truck_Series', 'Xkcd', 'Canada', 'Headlamp', ""O'Reilly_Auto_Parts_300_(fall_race)"", 'AutoZone_Park']"
Europe Travel,40,"['Italy', 'Greece', ""Frommer's"", 'World_Travel_Monitor', 'England', 'Transport_in_Europe', 'Switzerland', 'Turkey', 'Netherlands', 'Serbia']"
Fitness and Exercise,736,"['Water_intoxication', 'Abdominal_exercise', 'Immediate_Response_2008', 'Carbohydrate_metabolism', 'Health_effects_of_physical_exercise', 'Blue_Flag_(Israeli_Air_Force_exercise)', 'Adolescent_health', 'Schmelz_(Vienna)', 'Palpitations', 'Pawina_Thongsuk']"
Dating,145,"['Adult_dating_website', 'Truth_Channel', 'R.W.D._Molenbeek', 'Lichenometry', 'Speed-dating', 'Arranged_marriage', 'Celebs_Go_Dating', 'List_of_college_athletics_championship_game_outcomes', 'Courtship_in_the_Philippines', 'Timeline_of_online_dating_services']"
Home Entertaining,2,"['Ontario', 'New_York_City']"
Van,962,"['Weiwang_M20', 'Nancy_Skinner_Nordhoff', 'PIT_maneuver', 'DAF_46', 'Kallar_Syedan', 'D__1', 'Nissan_AD__Van_Y11__1', 'Prince_Skyway', 'Ford_Falcon_(XM)', 'Single-deck_bus']"
Flower Shopping,3609,"['Gynoecium', 'Betula_pubescens', 'Spathiphyllum_floribundum', 'Garland', 'Poaceae', 'Acer_ginnala', 'Buckleya_distichophylla', 'Duboisia', 'Peridiscaceae', 'Seychelles_black_parrot']"
Bath and Shower,650,"['Caravan_(trailer)', 'John_Bath', 'Trenhotel', 'James_R._Bath', 'Royal_National_Hospital_for_Rheumatic_Diseases', 'Merton_Russell-Cotes', 'Showers', 'List_of_Desert_Island_Discs_episodes_(1991–2000)', 'Elizabeth_Thynne,_Marchioness_of_Bath', 'Robert_Bath']"
Media Industry,24,"['Ministry_of_Communication_Equipment_Industry_(Soviet_Union)', 'Entertainment', 'International_Federation_of_the_Phonographic_Industry', 'Hans_Magnus_Enzensberger', 'Coalition_for_Innovative_Media_Measurement', 'Trade_magazine', 'Screenwriter', '3i', 'Australian_Interactive_Media_Industry_Association', 'Insurance']"
Gardening,667,"['Pacific_Magazines', 'Screwfix', 'International_School_of_Boston', 'Angelo_DiGeorge', 'Mother_Earth_News', 'Clematis_lanuginosa', 'Iditarod_Trail_Sled_Dog_Race', 'Nomenclature', 'List_of_Desert_Island_Discs_episodes_(1961–1970)', 'Einöllen']"
Fashion Events,5,"['List_of_fashion_events', 'New_York_City', 'Paris', 'Job_or_No_Job', 'Fashion_week']"
Road-Side Assistance,6,"['North_Carolina_Education_Lottery_200_(Rockingham)', 'Estonia', 'Crewe_Alexandra_F.C.', 'Lane_departure_warning_system', ""List_of_Dexter's_Laboratory_episodes"", 'Pitcher']"
Bars & Restaurants,5374,"['Warriparinga', 'Jesus', 'Claim_Jumper', 'Mugaritz', 'Building', 'The_Blues_Brothers', 'Wine_bar', 'Boathouse', 'Bar-crested_antshrike', 'List_of_bean-to-bar_chocolate_manufacturers']"
Camping,1294,"['Fort_Resolution', 'Alafia_River_State_Park', 'LaGrave_Field', 'Huntersville_State_Forest', 'Union,_Connecticut', 'Estadio_El_Campín', 'Guy_Gruters', 'Brynrefail', 'Pueblo_Mountains', 'Mountain_Warehouse']"
College Education,482,"['Charles_Sturt_University', 'Helderberg_College_of_Higher_Education', 'Nyíregyháza', 'University_of_Lincoln', 'Student_rights_in_higher_education', 'Gosforth_Academy', 'Halesowen_College_of_Further_Education', 'Notre_Dame_High_School,_Glasgow', 'Education_in_Kentucky', 'Eminata_Group']"
Coupe,1571,"['Bugatti_Centodieci', 'Audi_Coupé', 'Aston_Martin_DB9', 'Subaru_Alcyone_SVX', 'Noble_M15', 'Mazda_RX-7__First_generation_SA__1', 'Renault_Reinastella', 'Pillar_(car)', 'Iso_Rivolta_IR_300', 'Lotus_Elite__Type_14__1']"
Nail Care,3,"['Manicure', 'Environmental_impact_of_pharmaceuticals_and_personal_care_products', 'List_of_Medknow_Publications_academic_journals']"
Children's Games and Toys,961,"[""Children's_Toy"", 'String_(structure)', 'Pullstring', 'Sui_Jianguo', 'Pixiphone', 'Witmark', 'A_Quiet_Week_in_the_House', 'Fyndiq', 'Atollo', 'Star_Bird']"
Convertible,949,"['Ford_Thunderbird', 'The_Guvernment', 'AMC_Concord__AMC_Concord__1', 'Alpine_A110', 'Plymouth_GTX', 'Apollo_GT', 'Mercedes-Benz_S-Class_(C217)', 'Nissan_Skyline', 'Mitsubishi_Colt', 'Elva_(car_manufacturer)']"
Zoos & Aquariums,1700,"['Ken_Sugimori', 'Guangzhou_Chimelong_Tourist_Resort', 'Franklin_Park_(Boston)', 'Animal_Exploration_with_Jarod_Miller', 'Indianapolis_Zoo', 'Billy_Smart_Jr.', 'Fear_of_mice_and_rats', 'Celtic_Reptile_&_Amphibian', 'Dehiwala-Mount_Lavinia', 'Miller_Park_Zoo']"
Hospitality Industry,476,"['Maurizio_Vasco', 'Politics_of_Guam', 'Next_Generation_EU', 'William_B._Travis_High_School_(Austin,_Texas)', 'Seven_Stars_Luxury_Hospitality_and_Lifestyle_Awards', 'Tabung_Haji', 'Washington_metropolitan_area', 'Marriott_International', 'Jan_Carlzon', 'Emotional_labor']"
Prom,454,"['Cumberland,_Rhode_Island', 'List_of_Teen_Titans_(TV_series)_characters', 'Lacey_Township,_New_Jersey', 'Pilgrim_High_School', 'Rock,_Rock,_Rock!_(film)', 'List_of_Rescue_911_episodes', 'The_Ultimate_Prom_Nite', 'Sarah_Clarke', 'Pierre_Bernard_(comedian)', 'Astor_House_Hotel_(Shanghai)']"
Home Improvement,21,"['Home_improvement', 'Handy_Andy_Home_Improvement_Center', 'Home_improvement_center', 'Home_Improvement:_Power_Tool_Pursuit!', 'List_of_Home_Improvement_characters', 'Anglian_Home_Improvements', 'New_York_City', ""Aikenhead's_Hardware"", 'Home_Shopping_Network', 'Home_Improvement_Programme']"
Household Supplies,3,"['Self-supply_of_water_and_sanitation', 'New_Jersey', 'Mains_electricity']"
Education industry,22,"['National_Tertiary_Education_Union', 'Education', 'Department_of_Industry,_Innovation,_Climate_Change,_Science,_Research_and_Tertiary_Education', 'New_York_City', 'Activism', 'List_of_Parliamentary_Secretaries_of_Ireland', 'Business-education_partnerships', 'Microsoft_Windows', 'Hamhŭng_University_of_Chemical_Industry', 'Council_for_Industry_and_Higher_Education']"
Holiday Shopping,3,"['Christmas_and_holiday_season', 'Shipping_holiday', 'Retail']"
Motorcycles,3878,"['Honda_Bravo', 'Big_Jake', 'List_of_Kamen_Rider_W_characters', 'Master_link', 'Yamaha_XJR400', 'Runner_Automobiles', 'Coventry_Transport_Museum', 'Powerland_Heritage_Park', 'Honda_CR250M', 'List_of_Laverda_Motorcycles']"
Dining Out,8,"['List_of_Home_Improvement_episodes', 'Winger_(ice_hockey)', 'Babylon_5_(franchise)', 'List_of_Camp_Lazlo_episodes', 'Professional_wrestling_aerial_techniques', 'Al_fresco_dining', 'Over_It_(album)', 'Dining_in']"
Makeup and Accessories,173,"['Fashion_accessory', 'Motorcycle_accessories', 'Spinal_root_of_accessory_nerve', 'Prosthetic_makeup', 'M26_Modular_Accessory_Shotgun_System', 'Supplementary_motor_area', 'DNA', 'Foundation_(cosmetics)', 'Accessory_obturator_nerve', 'Seminal_fluid_protein']"
Smart Home,28,"['Thread_(network_protocol)', 'Duke_Smart_Home', 'List_of_Dove_Medical_Press_academic_journals', 'PLDT_Home_Fibr_Hitters', 'Brinks_Home_Security', 'home_office', 'Social_distancing', 'List_of_I_Am_Weasel_episodes', 'New_York_City', 'List_of_Home_and_Away_characters_(1988)']"
Travel Accessories,1,['Science_fiction']
Auto Type,31,"['Autotype', 'Autoimmune_polyendocrine_syndrome_type_1', 'AK-47', 'Green Vehicles', 'Luxury Cars', 'Cassette_tape', 'Incremental_search', 'Paperback', 'Vehicle', 'Familial_dysautonomia']"
Perfume and Fragrance,757,"['Spice_use_in_Antiquity', 'Svalbardbutikken', 'Clothing_in_the_ancient_world', 'Magnoliids', 'Impulse_(body_mist)', 'Scouring_powder', 'The_Case_of_the_Howling_Dog', 'Phototoxin', ""Reb'l_Fleur"", 'The_Secret_of_Red_Gate_Farm']"
Single Life,127,"['List_of_Naruto_episodes', 'Lift', ""2005_Pacific_Life_Open_–_Men's_Singles"", 'Hadiqa_Kiani', 'List_of_The_Simple_Life_episodes', 'Dropkick_Murphys', ""2006_Pacific_Life_Open_–_Men's_Singles"", 'Live_single-cell_imaging', 'Leading', 'Love_of_My_Life_(Queen_song)']"
Telecommunications Industry,2738,"['Air-ground_radiotelephone_service', 'Helpline_Telecoms_Nigeria_Limited', 'Bell_Telephone_Company', 'Connect.com.au', 'CMOS_amplifier', 'University_College_Cork', 'Tellme_Networks__,_Inc.__1', 'Unbalanced_line', 'Hydraulic_(disambiguation)', 'Delta_(company)']"
Automotive Industry,2198,"['Sazgar', 'Superior_Essex', 'Car_chase', 'Modern_Machine_Shop', 'List_of_Top_Automotive_manufacturing_groups', 'Carsite', 'Urgent.ly', 'Lozier', 'Hyzon_Motors', 'Techrules']"
North America Travel,47,"['Colombia', 'Eastern_Time_Zone', 'Netherlands', 'Uruguay', 'English_language', 'Scotland', 'Los_Angeles', 'Gelechiidae', 'Germany', 'Pennsylvania']"
Home Security,82,"['National_Security_and_Homeland_Security_Presidential_Directive', 'DHS_Border_and_Maritime_Security_Division', 'Department_of_Homeland_Security_Office_of_Inspector_General', 'List_of_Saturday_Night_Live_commercial_parodies', 'Center_for_Homeland_Defense_and_Security', 'Homeland_Security_USA', 'United_States_Senate_Homeland_Security_Subcommittee_on_Regulatory_Affairs_and_Federal_Management', 'Ministry_of_Security_and_Public_Administration', 'United_States_Department_of_Homeland_Security', 'Vulnerability_(computing)']"
Malls & Shopping Centers,1269,"['Harbor_Square', 'Southlands_(Aurora,_Colorado)', 'White_Oaks_Mall', 'Northgate_Shopping_Centre', 'The_Shops_at_Hilltop', 'Brent_Cross_Shopping_Centre', 'Music_City_Mall_(Lewisville,_Texas)', 'Anglia_Square_Shopping_Centre,_Norwich', 'Auburn_Mall_(Alabama)', 'Pruneyard_Shopping_Center']"
Luxury Cars,12,"['Executive_car', 'Luxury_vehicle', 'Slutever_(TV_series)', 'Luxury_Car_Tax', 'Compact_executive_car', 'Cadillac_Urban_Luxury_Concept', 'Sport_utility_vehicle', 'Hatchback', 'Luxury_Car_(film)', 'Personal_luxury_car']"
Barbecues and Grilling,1218,"['Cuisine_of_Quebec', 'New_Haven-style_pizza', 'Guinea_pig', 'New_York_Noise', 'List_of_Special_A_episodes', 'Ham_and_eggs', ""Gilley's_Saloon"", 'Hillside_Dams', 'List_of_sausages', 'Christmas_on_the_River']"
Parks & Nature,10938,"['Willie_Park_Sr.', 'Manú_National_Park', 'Lake_on_the_Mountain_Provincial_Park', 'Smith_Park', 'Rodondo_Island', 'Madonie_Regional_Natural_Park', 'Duck_Creek_Park', 'Malanda_Falls_Conservation_Park', 'Country_Life_Park', 'Somerton_Park']"
Tablets and E-readers,293,"['Rongorongo_text_L', 'Tablet_(religious)', 'Rongorongo_text_W', 'Ebla_tablets', 'Sublingual_administration', 'Electronic_dictionary', 'Rongorongo_text_H', 'Jehoash_Inscription', 'Amazon_Kindle', 'Tablet_of_Visitation']"
Personal Celebrations & Life Events,34,"['Global_catastrophic_risk', 'List_of_Winx_Club_episodes', 'Ed_Ames', 'Anti-abortion_violence', 'Graduation', 'Non-epileptic_seizure', 'Brief_resolved_unexplained_event', 'Pokémon_Go_live_events', 'Diary_of_George_Fletcher_Moore', 'Anthony_Evans_(singer)']"
Hotel Properties,5384,"['Hilton_Buenos_Aires', 'List_of_tallest_buildings_in_Denmark', 'Koryo_Hotel', 'Digby_Pines_Golf_Resort_and_Spa', 'JW_Marriott_Jakarta', 'Ottawa_Marriott_Hotel', 'Nuremberg', 'Eunice_Gray', 'Grand_Hotel_(Torquay)', 'Baldwin_Hotel_(San_Francisco)']"
Green Vehicles,13,"['Green_Vehicles', 'Railpower_GG20B', 'Vehicle_registration_plates_of_Denmark', 'Plant', 'Lotus_Cars', 'Vehicle_insurance', 'Los_Gatos,_California', 'Marais_Poitevin', 'Electric_vehicle', 'OScar']"
Birds,1420,"['Walter_Bird_(photographer)', 'Black-crowned_night_heron', 'Speedbird', 'Jeeves_and_the_Greasy_Bird', 'Okhla_Sanctuary', ""Empress_of_Germany's_bird_of_paradise"", 'Puffin', 'Rhea_(bird)', 'Hayley_Sales', 'Ugly_Beautiful']"
