IAB Keyword,One_Hop_Edges_Count,Two_Hop_Edges_Count,10 Examples
Wedding,210,13956,"['wedding_goer', 'wedding_cake', 'marriage_celebration', 'nuptial', 'weddingwear', 'matron_of_honour', 'disc_jockey', 'birds_wedding', 'wedding_reception', 'weddinglike']"
Large Animals,1,485,['africa']
Desktops,1,92,['desktop']
Laptops,6,741,"['ibook', 'plastic', 'laptop', 'mobile_computers', 'chips', 'meeting']"
Home Appliances,0,0,[]
Hotels and Motels,29,3453,"['motels', 'refrigerators', 'accomodations', 'alternative_rock', 'poison', 'fountain', 'where_tired_travelers_stay_at_night', 'for_cockroaches', 'european_plan', 'human']"
Awards Shows,3,369,"['ceremony', 'award_ceremonies', 'award']"
Parenting,25,1726,"['birth', 'overparenting', 'mumsnetter', 'adopt', 'underparenting', 'parentings', 'parenthood', 'neglect', 'stepparenting', 'godparenting']"
Auto Body Styles,9,380,"['Coupe', 'Pickup Trucks', 'Commercial Trucks', 'Minivan', 'Convertible', 'Van', 'Station Wagon', 'Sedan', 'SUV']"
Houses,98,18143,"['tree', 'fan', 'gleaning', 'bricks', 'street', 'roofs', 'found_in_subdivisions', 'cost_lots', 'where_people_live', 'safe']"
Beach Travel,248,14842,"['future_skin_cancer_patients', 'sandy', 'doubles_volleyball', 'beachline', 'beachberry', 'strand', 'bank', 'beachside', 'beachcam', 'sand_winning']"
Auto Repair,0,0,[]
Polar Travel,420,22951,"['overshoe', 'inuk', 'bodily_displacement_in_snow', 'arctic_tern', 'white_animals', 'extreme_skiing', 'brant', 'boreoarctic', 'geländesprung', 'rando']"
Women's Clothing,42,1815,"['habit', 'dress', 'miniskirt', ""women's_athletic_clothing"", 'tube_top', 'capri_pants', 'one_piece_swimsuit', 'leggings', ""Women's Formal Wear"", 'bra_like_garment']"
South America Travel,0,0,[]
Office Property,0,0,[]
Comedy Events,149,11843,"['stand_up_comedy', 'dramedy', 'business_is_business', 'written_or_spoken_work', 'horror', 'delight_watchers', 'club', 'dionysia', 'comedically', 'black_humor']"
Reptiles,23,1338,"['primitive_streak', 'turtles_tortoises_and_terrapins', 'secretary_bird', 'herpetologist', 'lizards_snakes_turtles_and_dinosaurs', 'snakes', 'scaly', 'animals_with_scales', 'not_all_animals', 'cold_blooded_animals']"
Pickup Trucks,2,47,"['pickup_truck', 'truck_nuts']"
Alcoholic Beverages,10,1645,"['served_in_shot_glasses_and_tumblers', 'bar', 'bishop', 'pope', 'bowling_alley', 'fraternity_house', 'drunk', 'beverage', 'bottle_glorifier', 'served_in_saloon']"
Card Games,222,16934,"['scopa', 'chump_blocker', 'opener', 'king', 'rifling', 'four_seasons', 'whist', 'canasta', 'tout', 'suiter']"
Auto Rentals,19,2071,"['enterprise', 'business', 'automobile', 'rental', 'self_drive', 'u_drive', 'chartering', 'leasing', 'hiring', 'hire_car']"
Cruises,3,67,"['cruise', 'plural_form_of_cruise', 'ton_of_fun']"
Cinemas and Events,158,8403,"['medium', 'movies', 'cinemaphotography', 'watch_film', 'kinema', 'celluloid', 'splice_edit', 'ticket_collector', 'seventh_art', 'cinema_goer']"
Auto Shows,1,7,['auto_show']
Individual Brands,0,0,[]
Women's Formal Wear,17,1562,"['retail', 'menswear', 'wedding_gown', 'most_commonaly', 'formal_thing', 'suit', 'cummerbund', 'wedding_dress', 'dinner_jacket', 'required_for_formal_occasions']"
Women's Handbags and Wallets,326,23997,"['tote', 'storage', 'money_billfold', 'holder', 'holding_identification_cards', 'money_clip', 'usually', 'compact_disc', 'money_pocket', 'carry_money']"
Men's Casual Wear,9,927,"['turtleneck', 'pair_of_shorts', 'wear', 'womenswear', 'clothing_item', 'clothing', 'men', 'casualness', 'opposite_of_professional_business_attire']"
Women's Jewelry and Watches,317,21938,"['pendulum_watch', 'wampum', 'found_in_house', 'hunter', 'blinged_out', 'look_after', 'valuable_personal_possession', 'silver', 'timepiece', 'watches']"
Australia and Oceania Travel,0,0,[]
Men's Formal Wear,13,1477,"['wedding_dress', 'dress', 'clothing', 'men', 'formal_shoe', 'tuxedo', 'wear', 'wedding_gown', 'cummerbund', 'formal_thing']"
