,Recommended Mapping Category,Relevancy Label,refSource,category,label,targetType,adword,mappingModality,version,targetLabel,score,version
71,,H,coco,COCO,Car,inclusion,Automotive||Commercial Trucks,text+video,2,Automotive||Commercial Trucks,0.763607246,"1,2"
72,,L,Places2,,loading_dock,inclusion,Automotive||Commercial Trucks,text+video,2,Automotive||Commercial Trucks,0.73477864,"1,2"
73,,H,openimage,103,Land vehicle,inclusion,Automotive||Commercial Trucks,text+video,2,Automotive||Commercial Trucks,0.796645365,"1,2"
74,Business Finance || Construction Industry,H,imagenet,vehicle,forklift,inclusion,Automotive||Commercial Trucks,text+video,2,Automotive||Commercial Trucks,0.802311168,"1,2"
75,Business Finance || Construction Industry,L,imagenet,vehicle,crane,inclusion,Automotive||Commercial Trucks,text+video,2,Automotive||Commercial Trucks,0.798869636,"1,2"
76,,H,imagenet,vehicle,trailer truck,inclusion,Automotive||Commercial Trucks,text+video,1,Automotive||Commercial Trucks,0.789077686,1
77,,H,imagenet,vehicle,garbage truck,inclusion,Automotive||Commercial Trucks,text+video,1,Automotive||Commercial Trucks,0.839806897,1
78,,H,coco,COCO,Truck,inclusion,Automotive||Commercial Trucks,text+video,2,Automotive||Commercial Trucks,0.958371029,"1,2"
79,,N,coco,COCO,Traffic light,inclusion,Automotive||Convertible,text+video,1,Automotive||Convertible,0.377366922,1
80,,L,coco,COCO,Boat,inclusion,Automotive||Convertible,text+video,1,Automotive||Convertible,0.379370506,1
81,,N,coco,COCO,Cake,inclusion,Automotive||Convertible,text+video,1,Automotive||Convertible,0.380017923,1
82,,N,coco,COCO,Skateboard,inclusion,Automotive||Convertible,text+video,1,Automotive||Convertible,0.381176459,1
83,,L,coco,COCO,Motorbike,inclusion,Automotive||Convertible,text+video,1,Automotive||Convertible,0.392223434,1
84,Sports,L,Places2,,raceway,inclusion,Automotive||Convertible,text+video,1,Automotive||Convertible,0.397183543,1
85,,L,coco,COCO,Truck,inclusion,Automotive||Convertible,text+video,1,Automotive||Convertible,0.422386242,1
86,,H,openimage,OID,Wheel,inclusion,Automotive||Convertible,text+video,2,Automotive||Convertible,0.6789952,"1,2"
87,"Automotive || Auto Body Styles, Automotive || Luxury Car",L,imagenet,vehicle,sports car,inclusion,Automotive||Convertible,text+video,1,Automotive||Convertible,0.572879983,1
88,Automotive || Auto Parts,H,Places2,,auto_showroom,inclusion,Automotive||Convertible,text+video,2,Automotive||Convertible,0.735024608,"1,2"
89,,H,imagenet,vehicle,convertible,inclusion,Automotive||Convertible,text+video,2,Automotive||Convertible,0.94961132,"1,2"
90,,H,coco,COCO,Car,inclusion,Automotive||Convertible,text+video,2,Automotive||Convertible,0.843731153,"1,2"
91,,L,imagenet,vehicle,minivan,inclusion,Automotive||Coupe,text+video,2,Automotive||Coupe,0.685533057,"1,2"
92,,L,coco,COCO,Truck,inclusion,Automotive||Coupe,text+video,1,Automotive||Coupe,0.378531821,1
93,,L,imagenet,vehicle,pickup,inclusion,Automotive||Coupe,text+video,1,Automotive||Coupe,0.381392272,1
94,,L,coco,COCO,Motorbike,inclusion,Automotive||Coupe,text+video,1,Automotive||Coupe,0.386388774,1
95,,N,imagenet,vehicle,beach wagon,inclusion,Automotive||Coupe,text+video,1,Automotive||Coupe,0.395632612,1
96,,H,imagenet,vehicle,convertible,inclusion,Automotive||Coupe,text+video,2,Automotive||Coupe,0.799260803,"1,2"
97,,H,openimage,OID,Wheel,inclusion,Automotive||Coupe,text+video,2,Automotive||Coupe,0.654434707,"1,2"
98,Sports,L,Places2,,raceway,inclusion,Automotive||Coupe,text+video,1,Automotive||Coupe,0.423571808,1
99,"Automotive, Automotive || Auto Body Styles, Automotive || Luxury Car",L,imagenet,vehicle,sports car,inclusion,Automotive||Coupe,text+video,1,Automotive||Coupe,0.565216484,1
100,Automotive || Auto Parts,H,Places2,,auto_showroom,inclusion,Automotive||Coupe,text+video,2,Automotive||Coupe,0.727833326,"1,2"
101,,H,coco,COCO,Car,inclusion,Automotive||Coupe,text+video,2,Automotive||Coupe,0.866352319,"1,2"
102,,N,imagenet,electronics,power drill,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.381608718,1
103,,N,coco,COCO,Stop sign,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.381620099,1
104,,N,openimage,OID,Animal,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.382280203,1
105,,N,openimage,OID,Tree,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.382371251,1
106,,N,openimage,OID,Suit,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.382496443,1
107,,N,coco,COCO,Laptop,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.382496443,1
108,,N,imagenet,electronics,pay-phone,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.382519206,1
109,,L,imagenet,accessory,buckle,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.382746828,1
110,,L,openimage,OID,Vehicle registration plate,inclusion,Automotive||Green Vehicles,text+video,2,Automotive||Green Vehicles,0.763273903,"1,2"
111,AUTOMOTIVE || AUTO BODY STYLES,L,imagenet,vehicle,motor scooter,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.382974449,1
112,,N,imagenet,vehicle,tricycle,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.383202071,1
113,,N,imagenet,tool,iron,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.383657315,1
114,,L,coco,COCO,Parking meter,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.38402151,1
115,,H,openimage,OID,Land vehicle,inclusion,Automotive||Green Vehicles,text+video,2,Automotive||Green Vehicles,0.822990663,"1,2"
116,,N,coco,COCO,Traffic light,inclusion,Automotive||Green Vehicles,text+video,2,Automotive||Green Vehicles,0.746472943,"1,2"
117,Telecommunications,L,openimage,OID,Cell phone,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.384806806,1
118,,N,coco,COCO,Book,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.384886474,1
119,"Automotive, Automotive || Auto Parts",H,imagenet,technology,car wheel,inclusion,Automotive||Green Vehicles,text+video,2,Automotive||Green Vehicles,0.809566941,"1,2"
120,,N,coco,COCO,Surfboard,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.385557958,1
121,,N,imagenet,tool,carpenter's kit,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.386388778,1
122,,N,imagenet,tool,pencil sharpener,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.387982132,1
123,,N,openimage,OID,Poster,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.389985205,1
124,,N,imagenet,outdoor scene,maze,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.391851704,1
125,,N,openimage,OID,Toy,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.396028567,1
126,,H,openimage,OID,Wheel,inclusion,Automotive||Green Vehicles,text+video,2,Automotive||Green Vehicles,0.723861991,"1,2"
127,,N,coco,COCO,Bicycle,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.407034086,1
128,,L,coco,COCO,Motorbike,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.407739714,1
129,"Automotive, Automotive || Auto Parts",L,imagenet,technology,gas pump,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.410630513,1
130,"Automotive, Automotive || Auto Body Styles, Automotive || Luxury Car",L,imagenet,vehicle,sports car,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.415182951,1
131,,N,imagenet,decor,doormat,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.417686792,1
132,,L,imagenet,vehicle,minivan,inclusion,Automotive||Green Vehicles,text+video,2,Automotive||Green Vehicles,0.809772687,"1,2"
133,,L,coco,COCO,Truck,inclusion,Automotive||Green Vehicles,text+video,2,Automotive||Green Vehicles,0.787290009,"1,2"
134,,N,coco,COCO,Cake,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.427747681,1
135,,N,imagenet,technology,web site,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.510670347,1
136,,N,imagenet,coral,rock beauty,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.535026563,1
137,,N,imagenet,bird,little blue heron,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.547745883,1
138,,N,audio,,Rhythm and blues,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.54888837,1
139,,N,audio,,White noise,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.551507003,1
140,,N,imagenet,vegetable,bell pepper,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.569366717,1
141,,N,audio,,Pink noise,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.584705457,1
142,,N,openimage,62,Brown bear,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.596601266,1
143,Automotive || Auto Parts,H,Places2,,auto_showroom,inclusion,Automotive||Green Vehicles,text+video,2,Automotive||Green Vehicles,0.785450784,"1,2"
144,,N,openimage,64,Blue jay,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.63171714,1
145,,N,imagenet,snake,green snake,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.647249325,1
146,,N,openimage,356,Red panda,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.648246379,1
147,,N,imagenet,snake,green mamba,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.659381298,1
148,,N,imagenet,fruit,orange,inclusion,Automotive||Green Vehicles,text+video,2,Automotive||Green Vehicles,0.712171461,"1,2"
149,,N,openimage,481,Orange,inclusion,Automotive||Green Vehicles,text+video,2,Automotive||Green Vehicles,0.741333799,"1,2"
150,,N,audio,,Blues,inclusion,Automotive||Green Vehicles,text+video,1,Automotive||Green Vehicles,0.764082743,1
151,,H,openimage,OID,Car,inclusion,Automotive||Green Vehicles,text+video,2,Automotive||Green Vehicles,0.902292319,"1,2"
152,,L,coco,COCO,Computer keyboard,inclusion,Automotive||Luxury Cars,text+video,1,Automotive||Luxury Cars,0.376902155,1
153,,N,coco,COCO,Television,inclusion,Automotive||Luxury Cars,text+video,1,Automotive||Luxury Cars,0.378295795,1
154,,H,imagenet,vehicle,minibus,inclusion,Automotive||Luxury Cars,text+video,2,Automotive||Luxury Cars,0.766234367,"1,2"
155,,N,coco,COCO,Sofa,inclusion,Automotive||Luxury Cars,text+video,1,Automotive||Luxury Cars,0.379557337,1
156,,N,coco,COCO,Bicycle,inclusion,Automotive||Luxury Cars,text+video,1,Automotive||Luxury Cars,0.380614127,1
157,"Travel, Travel || Air Travel, Automotive,  Automotive ||  Auto Body Styles, Business & Finance || Hospitality Industry, Business & Finance || Logistics & Transportation Industry, Business & Finance || Aviation Industry, ",L,coco,COCO,Airplane,inclusion,Automotive||Luxury Cars,text+video,1,Automotive||Luxury Cars,0.380825484,1
158,,L,coco,COCO,Chair,inclusion,Automotive||Luxury Cars,text+video,1,Automotive||Luxury Cars,0.385323444,1
159,,H,imagenet,vehicle,limousine,inclusion,Automotive||Luxury Cars,text+video,1,Automotive||Luxury Cars,0.385455542,1
160,,H,imagenet,vehicle,convertible,inclusion,Automotive||Luxury Cars,text+video,2,Automotive||Luxury Cars,0.805724342,"1,2"
161,Sports,L,imagenet,vehicle,racer,inclusion,Automotive||Luxury Cars,text+video,1,Automotive||Luxury Cars,0.38763517,1
162,,H,imagenet,vehicle,grille,inclusion,Automotive||Luxury Cars,text+video,1,Automotive||Luxury Cars,0.392853067,1
163,Sports,L,Places2,,raceway,inclusion,Automotive||Luxury Cars,text+video,1,Automotive||Luxury Cars,0.397330442,1
164,,H,openimage,OID,Wheel,inclusion,Automotive||Luxury Cars,text+video,2,Automotive||Luxury Cars,0.713700804,"1,2"
165,,N,imagenet,vehicle,beach wagon,inclusion,Automotive||Luxury Cars,text+video,1,Automotive||Luxury Cars,0.418612304,1
166,,L,coco,COCO,Truck,inclusion,Automotive||Luxury Cars,text+video,2,Automotive||Luxury Cars,0.75482247,"1,2"
167,,N,Places2,,ski_resort,inclusion,Automotive||Luxury Cars,text+video,1,Automotive||Luxury Cars,0.551255927,1
168,"Automotive, Automotive || Auto Body Styles, Automotive || Luxury Car",L,imagenet,vehicle,sports car,inclusion,Automotive||Luxury Cars,text+video,1,Automotive||Luxury Cars,0.572573282,1
169,Automotive || Auto Parts,H,Places2,,auto_showroom,inclusion,Automotive||Luxury Cars,text+video,2,Automotive||Luxury Cars,0.861593742,"1,2"
170,,H,openimage,OID,Car,inclusion,Automotive||Luxury Cars,text+video,2,Automotive||Luxury Cars,0.955165793,"1,2"
171,,N,coco,COCO,Television,inclusion,Automotive||Minivan,text+video,1,Automotive||Minivan,0.376463196,1
172,Travel,H,imagenet,vehicle,cab,inclusion,Automotive||Minivan,text+video,1,Automotive||Minivan,0.376582885,1
173,Automotive || Jeep ,L,imagenet,vehicle,jeep,inclusion,Automotive||Minivan,text+video,1,Automotive||Minivan,0.378138839,1
174,,H,imagenet,vehicle,minibus,inclusion,Automotive||Minivan,text+video,2,Automotive||Minivan,0.828701867,"1,2"
175,"Automotive, Automotive || Auto Body Styles, Automotive || Luxury Car",L,imagenet,vehicle,sports car,inclusion,Automotive||Minivan,text+video,1,Automotive||Minivan,0.378856972,1
176,,N,coco,COCO,Suitcase,inclusion,Automotive||Minivan,text+video,1,Automotive||Minivan,0.386660682,1
177,,N,imagenet,vehicle,beach wagon,inclusion,Automotive||Minivan,text+video,1,Automotive||Minivan,0.395493716,1
178,,H,openimage,OID,Wheel,inclusion,Automotive||Minivan,text+video,1,Automotive||Minivan,0.415128665,1
179,,L,coco,COCO,Truck,inclusion,Automotive||Minivan,text+video,2,Automotive||Minivan,0.776514333,"1,2"
180,Automotive || Auto Parts,H,Places2,,auto_showroom,inclusion,Automotive||Minivan,text+video,2,Automotive||Minivan,0.761272142,"1,2"
181,,H,imagenet,vehicle,minivan,inclusion,Automotive||Minivan,text+video,2,Automotive||Minivan,0.97479284,"1,2"
182,,H,openimage,535,Van,inclusion,Automotive||Minivan,text+video,1,Automotive||Minivan,0.999999971,1
183,,H,openimage,OID,Car,inclusion,Automotive||Minivan,text+video,2,Automotive||Minivan,0.89064291,"1,2"
184,,H,openimage,OID,Tire,inclusion,Automotive||Pickup Trucks,text+video,1,Automotive||Pickup Trucks,0.37675592,1
185,,N,openimage,OID,Footwear,inclusion,Automotive||Pickup Trucks,text+video,1,Automotive||Pickup Trucks,0.377499332,1
186,,H,imagenet,vehicle,grille,inclusion,Automotive||Pickup Trucks,text+video,1,Automotive||Pickup Trucks,0.378086236,1
187,,L,coco,COCO,Bus,inclusion,Automotive||Pickup Trucks,text+video,1,Automotive||Pickup Trucks,0.378431857,1
188,,L,coco,COCO,Train,inclusion,Automotive||Pickup Trucks,text+video,1,Automotive||Pickup Trucks,0.378986156,1
189,"what is ""alp""",,imagenet,outdoor scene,alp,inclusion,Events and Attractions|Outdoor Activities,text+video,2,Events and Attractions|Outdoor Activities,0.782052562,"1,2"
190,,L,imagenet,vehicle,snowplow,inclusion,Automotive||Pickup Trucks,text+video,1,Automotive||Pickup Trucks,0.402018885,1
191,,N,Places2,,junkyard,inclusion,Automotive||Pickup Trucks,text+video,1,Automotive||Pickup Trucks,0.410308073,1
192,,H,openimage,OID,Wheel,inclusion,Automotive||Pickup Trucks,text+video,2,Automotive||Pickup Trucks,0.770558279,"1,2"
193,Automotive || Auto Parts,H,Places2,,auto_showroom,inclusion,Automotive||Pickup Trucks,text+video,2,Automotive||Pickup Trucks,0.772985677,"1,2"
194,Automotive || Jeep ,L,imagenet,vehicle,jeep,inclusion,Automotive||Pickup Trucks,text+video,1,Automotive||Pickup Trucks,0.499640619,1
7261,,H,audio,,Acoustic guitar,inclusion,Music and Audio,text+video,2,Music and Audio,0.757380858,2
196,,H,imagenet,vehicle,pickup,inclusion,Automotive||Pickup Trucks,text+video,1,Automotive||Pickup Trucks,0.932281899,1
197,,H,openimage,OID,Car,inclusion,Automotive||Pickup Trucks,text+video,2,Automotive||Pickup Trucks,0.883295941,"1,2"
198,,L,coco,COCO,Truck,inclusion,Automotive||Pickup Trucks,text+video,2,Automotive||Pickup Trucks,0.98115161,"1,2"
199,,H,imagenet,vehicle,grille,inclusion,Automotive||Sedan,text+video,1,Automotive||Sedan,0.376305528,1
200,Sports,L,imagenet,vehicle,racer,inclusion,Automotive||Sedan,text+video,1,Automotive||Sedan,0.376557749,1
201,,H,imagenet,vehicle,convertible,inclusion,Automotive||Sedan,text+video,2,Automotive||Sedan,0.801923529,"1,2"
202,,L,imagenet,vehicle,minivan,inclusion,Automotive||Sedan,text+video,2,Automotive||Sedan,0.804855396,"1,2"
203,,H,openimage,OID,Wheel,inclusion,Automotive||Sedan,text+video,1,Automotive||Sedan,0.409926604,1
204,,N,imagenet,vehicle,beach wagon,inclusion,Automotive||Sedan,text+video,1,Automotive||Sedan,0.431289733,1
205,"Automotive, Automotive || Auto Body Styles, Automotive || Luxury Car",L,imagenet,vehicle,sports car,inclusion,Automotive||Sedan,text+video,1,Automotive||Sedan,0.510487165,1
206,Automotive || Auto Parts,H,Places2,,auto_showroom,inclusion,Automotive||Sedan,text+video,2,Automotive||Sedan,0.811614655,"1,2"
207,,H,openimage,OID,Car,inclusion,Automotive||Sedan,text+video,2,Automotive||Sedan,0.879372433,"1,2"
208,,L,openimage,OID,Van,inclusion,Automotive||Station Wagon,text+video,1,Automotive||Station Wagon,0.378027712,1
209,,L,coco,COCO,Boat,inclusion,Automotive||Station Wagon,text+video,1,Automotive||Station Wagon,0.389494057,1
210,,H,openimage,OID,Wheel,inclusion,Automotive||Station Wagon,text+video,1,Automotive||Station Wagon,0.397458209,1
211,,L,coco,COCO,Bus,inclusion,Automotive||Station Wagon,text+video,2,Automotive||Station Wagon,0.767763294,"1,2"
212,,L,Places2,,parking_lot,inclusion,Automotive||Station Wagon,text+video,1,Automotive||Station Wagon,0.414704269,1
326,"Travel, Travel || Air Travel, Automotive,  Automotive ||  Auto Body Styles, Business & Finance || Hospitality Industry, Business & Finance || Logistics & Transportation Industry ",H,audio,,Air brake,inclusion,Automotive|Auto Parts,text+video,2,Automotive|Auto Parts,0.739794023,"1,2"
214,,L,coco,COCO,Truck,inclusion,Automotive||Station Wagon,text+video,2,Automotive||Station Wagon,0.815419412,"1,2"
215,Automotive || Auto Parts,H,Places2,,auto_showroom,inclusion,Automotive||Station Wagon,text+video,2,Automotive||Station Wagon,0.728864427,"1,2"
216,,L,imagenet,train,steam locomotive,inclusion,Automotive||Station Wagon,text+video,2,Automotive||Station Wagon,0.781374099,"1,2"
217,,L,Places2,,gas_station,inclusion,Automotive||Station Wagon,text+video,2,Automotive||Station Wagon,0.826966251,"1,2"
218,,N,Places2,,fire_station,inclusion,Automotive||Station Wagon,text+video,2,Automotive||Station Wagon,0.83177065,"1,2"
