,Recommended Mapping Category,Relevancy Label,refSource,Unnamed: 4,category,label,targetType,adword,mappingModality,version,targetLabel,score,version.1
25,,H,imagenet,,clothing,"['academic gown', 'academic robe', ""judge's robe""]",inclusion,Events and Attractions|Personal Celebrations & Life Events|Graduation,text+video,2,Events and Attractions||Graduation,0.789665643,2
26,,L,imagenet,,clothing,"['academic gown', 'academic robe', ""judge's robe""]",inclusion,Style & Fashion,text+video,2,Style & Fashion,0.711670247,2
27,,N,imagenet,,clothing,"['academic gown', 'academic robe', ""judge's robe""]",inclusion,Style & Fashion|Beauty|Hair Care,text+video,2,Style & Fashion||Hair Care,0.712379512,2
28,,N,imagenet,,clothing,"['academic gown', 'academic robe', ""judge's robe""]",inclusion,Style & Fashion|Beauty|Makeup and Accessories,text+video,2,Style & Fashion||Makeup and Accessories,0.718690961,2
29,,N,imagenet,,clothing,"['academic gown', 'academic robe', ""judge's robe""]",inclusion,Style & Fashion|Women's Fashion|Women's Accessories|Women's Handbags and Wallets,text+video,2,Style & Fashion|||Women's Handbags and Wallets,0.746956078,2
30,,N,imagenet,,clothing,"['academic gown', 'academic robe', ""judge's robe""]",inclusion,Style & Fashion|Women's Fashion|Women's Accessories|Women's Jewelry and Watches,text+video,2,Style & Fashion|||Women's Jewelry and Watches,0.76352453,2
31,,H,imagenet,,clothing,"['academic gown', 'academic robe', ""judge's robe""]",inclusion,Style & Fashion|Women's Fashion|Women's Clothing,text+video,2,Style & Fashion||Women's Clothing,0.811012512,2
32,,H,imagenet,,clothing,"['academic gown', 'academic robe', ""judge's robe""]",inclusion,Style & Fashion|Women's Fashion|Women's Clothing|Women's Formal Wear,text+video,2,Style & Fashion|||Women's Formal Wear,0.839056639,2
33,,N,imagenet,,clothing,"['academic gown', 'academic robe', ""judge's robe""]",inclusion,Style & Fashion|Women's Fashion|Women's Shoes and Footwear,text+video,2,Style & Fashion||Women's Shoes and Footwear,0.7706230709999999,2
34,,H,imagenet,,clothing,"['academic gown', 'academic robe', ""judge's robe""]",inclusion,Style & Fashion|Men's Fashion|Men's Clothing,text+video,2,Style & Fashion||Men's Clothing,0.8108119359999999,2
35,,N,imagenet,,clothing,"['academic gown', 'academic robe', ""judge's robe""]",inclusion,Style & Fashion|Men's Fashion|Men's Clothing|Men's Casual Wear,text+video,2,Style & Fashion|||Men's Casual Wear,0.79868743,2
36,,H,imagenet,,clothing,"['academic gown', 'academic robe', ""judge's robe""]",inclusion,Style & Fashion|Men's Fashion|Men's Clothing|Men's Formal Wear,text+video,2,Style & Fashion|||Men's Formal Wear,0.8383037940000001,2
37,,N,imagenet,,clothing,"['academic gown', 'academic robe', ""judge's robe""]",inclusion,Events and Attractions|Personal Celebrations & Life Events|Prom,text+video,2,Events and Attractions||Prom,0.703124654,2
38,,H,imagenet,,instrument,"['accordion', 'piano accordion', 'squeeze box']",inclusion,Hobbies & Interests|Musical Instruments,text+video,2,Hobbies & Interests|Musical Instruments,0.79780725,2
39,,H,imagenet,,instrument,"['accordion', 'piano accordion', 'squeeze box']",inclusion,Music and Audio,text+video,2,Music and Audio,0.7220575379999999,2
40,,L,imagenet,,fruit,['acorn squash'],inclusion,Food & Drink|Desserts and Baking,text+video,2,Food & Drink|Desserts and Baking,0.742472714,2
41,,H,imagenet,,instrument,['acoustic guitar'],inclusion,Music and Audio,text+video,2,Music and Audio,0.762581425,2
42,,H,imagenet,,dog,"['affenpinscher', 'monkey pinscher', 'monkey dog']",inclusion,Pets,text+video,2,Pets,0.7476108859999999,2
43,,N,imagenet,,dog,"['affenpinscher', 'monkey pinscher', 'monkey dog']",inclusion,Pets|Cats,text+video,2,Pets|Cats,0.797511227,2
44,,H,imagenet,,dog,"['affenpinscher', 'monkey pinscher', 'monkey dog']",inclusion,Pets|Dogs,text+video,2,Pets|Dogs,0.839695656,2
45,,L,imagenet,,dog,"['affenpinscher', 'monkey pinscher', 'monkey dog']",inclusion,Pets|Large Animals,text+video,2,Pets|Large Animals,0.721401658,2
46,,N,imagenet,,dog,"['Afghan hound', 'Afghan']",inclusion,Pets|Cats,text+video,2,Pets|Cats,0.721147668,2
47,,H,imagenet,,dog,"['Afghan hound', 'Afghan']",inclusion,Pets|Dogs,text+video,2,Pets|Dogs,0.7701064409999999,2
48,,H,imagenet,,lizard,"['African chameleon', 'Chamaeleo chamaeleon']",inclusion,Pets|Reptiles,text+video,2,Pets|Reptiles,0.742057746,2
49,,H,imagenet,,bird,"['African grey', 'African gray', 'Psittacus erithacus']",inclusion,Pets|Birds,text+video,2,Pets|Birds,0.769697176,2
50,,N,imagenet,,bird,"['African grey', 'African gray', 'Psittacus erithacus']",inclusion,Pets|Large Animals,text+video,2,Pets|Large Animals,0.7289552770000001,2
51,,N,imagenet,,bird,"['African grey', 'African gray', 'Psittacus erithacus']",inclusion,Travel|Travel Locations|Africa Travel,text+video,2,Travel||Africa Travel,0.7241066740000001,2
52,,N,imagenet,,bird,"['African grey', 'African gray', 'Psittacus erithacus']",inclusion,Travel|Travel Locations|Asia Travel,text+video,2,Travel||Asia Travel,0.649512717,2
53,,N,imagenet,,bird,"['African grey', 'African gray', 'Psittacus erithacus']",inclusion,Travel|Travel Locations|Australia and Oceania Travel,text+video,2,Travel||Australia and Oceania Travel,0.6750906740000001,2
54,,N,imagenet,,dog,"['African hunting dog', 'hyena dog', 'Cape hunting dog', 'Lycaon pictus']",inclusion,Pets,text+video,2,Pets,0.7803237540000001,2
55,,N,imagenet,,dog,"['African hunting dog', 'hyena dog', 'Cape hunting dog', 'Lycaon pictus']",inclusion,Pets|Birds,text+video,2,Pets|Birds,0.722247558,2
56,,N,imagenet,,dog,"['African hunting dog', 'hyena dog', 'Cape hunting dog', 'Lycaon pictus']",inclusion,Pets|Cats,text+video,2,Pets|Cats,0.816721755,2
57,,H,imagenet,,dog,"['African hunting dog', 'hyena dog', 'Cape hunting dog', 'Lycaon pictus']",inclusion,Pets|Dogs,text+video,2,Pets|Dogs,0.8524347859999999,2
58,,N,imagenet,,dog,"['African hunting dog', 'hyena dog', 'Cape hunting dog', 'Lycaon pictus']",inclusion,Pets|Large Animals,text+video,2,Pets|Large Animals,0.776090783,2
59,,N,imagenet,,boat,"['aircraft carrier', 'carrier', 'flattop', 'attack aircraft carrier']",inclusion,Business and Finance|Industries|Aviation Industry,text+video,2,Business and Finance||Aviation Industry,0.723711352,2
60,,N,imagenet,,boat,"['aircraft carrier', 'carrier', 'flattop', 'attack aircraft carrier']",inclusion,Travel|Travel Type|Rail Travel,text+video,2,Travel||Rail Travel,0.714637458,2
61,,N,imagenet,,boat,"['aircraft carrier', 'carrier', 'flattop', 'attack aircraft carrier']",inclusion,Travel|Travel Type|Air Travel,text+video,2,Travel||Air Travel,0.738720574,2
62,,H,imagenet,,dog,"['Airedale', 'Airedale terrier']",inclusion,Pets|Dogs,text+video,2,Pets|Dogs,0.7652939940000001,2
63,,H,imagenet,,bird,"['albatross', 'mollymawk']",inclusion,Pets|Birds,text+video,2,Pets|Birds,0.844961345,2
64,,N,imagenet,,furniture,['altar'],inclusion,Food & Drink|Dining Out,text+video,2,Food & Drink|Dining Out,0.722352049,2
65,,H,imagenet,,vehicle,['ambulance'],inclusion,Automotive|Auto Body Styles|Commercial Trucks,text+video,2,Automotive||Commercial Trucks,0.76374592,2
66,,N,imagenet,,vehicle,['ambulance'],inclusion,Automotive|Auto Body Styles|Station Wagon,text+video,2,Automotive||Station Wagon,0.7384919529999999,2
67,,N,imagenet,,vehicle,['ambulance'],inclusion,Automotive|Auto Body Styles|Minivan,text+video,2,Automotive||Minivan,0.750015575,2
68,,N,imagenet,,vehicle,['ambulance'],inclusion,Automotive|Auto Body Styles|Pickup Trucks,text+video,2,Automotive||Pickup Trucks,0.77756872,2
69,,N,imagenet,,vehicle,['ambulance'],inclusion,Automotive|Auto Type|Green Vehicles,text+video,2,Automotive||Green Vehicles,0.7848909190000001,2
70,,N,imagenet,,vehicle,['ambulance'],inclusion,Automotive|Auto Type|Luxury Cars,text+video,2,Automotive||Luxury Cars,0.733079467,2
71,,H,imagenet,,lizard,"['American chameleon', 'anole', 'Anolis carolinensis']",inclusion,Pets|Reptiles,text+video,2,Pets|Reptiles,0.71168795,2
72,,H,imagenet,,bird,"['American coot', 'marsh hen', 'mud hen', 'water hen', 'Fulica americana']",inclusion,Pets|Birds,text+video,2,Pets|Birds,0.798484877,2
73,,N,imagenet,,bird,"['American coot', 'marsh hen', 'mud hen', 'water hen', 'Fulica americana']",inclusion,Pets|Large Animals,text+video,2,Pets|Large Animals,0.711069773,2
74,,H,imagenet,,bird,"['American egret', 'great white heron', 'Egretta albus']",inclusion,Pets|Birds,text+video,2,Pets|Birds,0.790165204,2
75,,N,imagenet,,dog,"['American Staffordshire terrier', 'Staffordshire terrier', 'American pit bull terrier', 'pit bull terrier']",inclusion,Pets|Cats,text+video,2,Pets|Cats,0.748088392,2
76,,H,imagenet,,dog,"['American Staffordshire terrier', 'Staffordshire terrier', 'American pit bull terrier', 'pit bull terrier']",inclusion,Pets|Dogs,text+video,2,Pets|Dogs,0.816347918,2
77,,N,imagenet,,vehicle,"['amphibian', 'amphibious vehicle']",inclusion,Automotive|Auto Body Styles|Commercial Trucks,text+video,2,Automotive||Commercial Trucks,0.747167283,2
78,,N,imagenet,,vehicle,"['amphibian', 'amphibious vehicle']",inclusion,Automotive|Auto Body Styles|Pickup Trucks,text+video,2,Automotive||Pickup Trucks,0.7119893209999999,2
79,,N,imagenet,,vehicle,"['amphibian', 'amphibious vehicle']",inclusion,Automotive|Auto Type|Green Vehicles,text+video,2,Automotive||Green Vehicles,0.785669732,2
80,,N,imagenet,,decor,['analog clock'],inclusion,Style & Fashion|Women's Fashion|Women's Accessories|Women's Jewelry and Watches,text+video,2,Style & Fashion|||Women's Jewelry and Watches,0.7204929,2
81,,N,imagenet,,fish,['anemone fish'],inclusion,Pets|Birds,text+video,2,Pets|Birds,0.7353484640000001,2
82,,N,imagenet,,fish,['anemone fish'],inclusion,Pets|Large Animals,text+video,2,Pets|Large Animals,0.73081148,2
83,,H,imagenet,,fish,['anemone fish'],inclusion,Events and Attractions|Zoos & Aquariums,text+video,2,Events and Attractions|Zoos & Aquariums,0.640401407,2
84,,L,imagenet,,outdoor scene,"['apiary', 'bee house']",inclusion,Events and Attractions|Outdoor Activities,text+video,2,Events and Attractions|Outdoor Activities,0.763046911,2
85,,N,imagenet,,outdoor scene,"['apiary', 'bee house']",inclusion,Food & Drink|Dining Out,text+video,2,Food & Drink|Dining Out,0.725982336,2
86,,N,imagenet,,outdoor scene,"['apiary', 'bee house']",inclusion,Home & Garden,text+video,2,Home & Garden,0.7698376090000001,2
87,,N,imagenet,,outdoor scene,"['apiary', 'bee house']",inclusion,Home & Garden|Home Entertaining,text+video,2,Home & Garden|Home Entertaining,0.739155769,2
88,,L,imagenet,,dog,['Appenzeller'],inclusion,Pets|Large Animals,text+video,2,Pets|Large Animals,0.7449910359999999,2
89,,L,imagenet,,clothing,['apron'],inclusion,Style & Fashion||Men's Clothing,text+video,2,Style & Fashion||Men's Clothing,0.801348233,"1,2"
90,,L,imagenet,,clothing,['apron'],inclusion,Style & Fashion,text+video,2,Style & Fashion,0.715828182,2
91,,N,imagenet,,clothing,['apron'],inclusion,Style & Fashion|Beauty|Makeup and Accessories,text+video,2,Style & Fashion||Makeup and Accessories,0.7635414770000001,2
92,,N,imagenet,,clothing,['apron'],inclusion,Style & Fashion|Women's Fashion|Women's Accessories|Women's Handbags and Wallets,text+video,2,Style & Fashion|||Women's Handbags and Wallets,0.72311648,2
93,,N,imagenet,,clothing,['apron'],inclusion,Style & Fashion|Women's Fashion|Women's Accessories|Women's Jewelry and Watches,text+video,2,Style & Fashion|||Women's Jewelry and Watches,0.725458547,2
94,,L,imagenet,,clothing,['apron'],inclusion,Style & Fashion|Women's Fashion|Women's Clothing,text+video,2,Style & Fashion||Women's Clothing,0.80228162,2
95,,L,imagenet,,clothing,['apron'],inclusion,Style & Fashion|Women's Fashion|Women's Clothing|Women's Formal Wear,text+video,2,Style & Fashion|||Women's Formal Wear,0.763144956,2
96,,N,imagenet,,clothing,['apron'],inclusion,Style & Fashion|Women's Fashion|Women's Shoes and Footwear,text+video,2,Style & Fashion||Women's Shoes and Footwear,0.7668751509999999,2
97,,N,imagenet,,clothing,['apron'],inclusion,Style & Fashion|Men's Fashion|Men's Clothing|Men's Casual Wear,text+video,2,Style & Fashion|||Men's Casual Wear,0.7701717779999999,2
98,,L,imagenet,,clothing,['apron'],inclusion,Style & Fashion|Men's Fashion|Men's Clothing|Men's Formal Wear,text+video,2,Style & Fashion|||Men's Formal Wear,0.760404483,2
99,,N,imagenet,,wild dog,"['Arctic fox', 'white fox', 'Alopex lagopus']",inclusion,Pets|Birds,text+video,2,Pets|Birds,0.75221024,2
100,,N,imagenet,,wild dog,"['Arctic fox', 'white fox', 'Alopex lagopus']",inclusion,Pets|Cats,text+video,2,Pets|Cats,0.770359405,2
101,,L,imagenet,,wild dog,"['Arctic fox', 'white fox', 'Alopex lagopus']",inclusion,Pets|Dogs,text+video,2,Pets|Dogs,0.779111027,2
102,,N,imagenet,,wild dog,"['Arctic fox', 'white fox', 'Alopex lagopus']",inclusion,Pets|Large Animals,text+video,2,Pets|Large Animals,0.7748078279999999,2
103,,N,imagenet,,wild dog,"['Arctic fox', 'white fox', 'Alopex lagopus']",inclusion,Travel|Travel Locations|North America Travel,text+video,2,Travel||North America Travel,0.717375995,2
104,,L,imagenet,,wild dog,"['Arctic fox', 'white fox', 'Alopex lagopus']",inclusion,Travel|Travel Locations|Polar Travel,text+video,2,Travel||Polar Travel,0.7078073990000001,2
105,,L,imagenet,,vegetable,"['artichoke', 'globe artichoke']",inclusion,Food & Drink|Desserts and Baking,text+video,2,Food & Drink|Desserts and Baking,0.7311080520000001,2
106,,H,imagenet,,dog,['Australian terrier'],inclusion,Pets,text+video,2,Pets,0.7621710190000001,2
107,,N,imagenet,,dog,['Australian terrier'],inclusion,Pets|Cats,text+video,2,Pets|Cats,0.779003353,2
108,,H,imagenet,,dog,['Australian terrier'],inclusion,Pets|Dogs,text+video,2,Pets|Dogs,0.8444665459999999,2
109,,H,topic_slice,,,"['Automobile', 'Road']",inclusion,Automotive,text+video,2,Automotive,0.778019977,2
110,,L,topic_slice,,,"['Automobile', 'Road']",inclusion,Automotive|Auto Body Styles,text+video,2,Automotive|Auto Body Styles,0.746018455,2
111,,H,topic_slice,,,"['Automobile', 'Road']",inclusion,Automotive|Auto Body Styles|Commercial Trucks,text+video,2,Automotive||Commercial Trucks,0.773104461,2
112,,H,topic_slice,,,"['Automobile', 'Road']",inclusion,Automotive|Auto Body Styles|Station Wagon,text+video,2,Automotive||Station Wagon,0.7267403,2
113,,H,topic_slice,,,"['Automobile', 'Road']",inclusion,Automotive|Auto Body Styles|Pickup Trucks,text+video,2,Automotive||Pickup Trucks,0.746348399,2
114,,H,topic_slice,,,"['Automobile', 'Road']",inclusion,Automotive|Auto Type|Green Vehicles,text+video,2,Automotive||Green Vehicles,0.795113595,2
115,,H,topic_slice,,,"['Automobile', 'Road']",inclusion,Automotive|Auto Type|Luxury Cars,text+video,2,Automotive||Luxury Cars,0.7987588309999999,2
116,,H,topic_slice,,,"['Automobile', 'Road']",inclusion,Automotive|Auto Type,text+video,2,Automotive|Auto Type,0.7709021140000001,2
117,,N,topic_slice,,,"['Automobile', 'Road']",inclusion,Automotive|Motorcycles,text+video,2,Automotive|Motorcycles,0.747439515,2
118,,L,topic_slice,,,"['Automobile', 'Road']",inclusion,Automotive|Road-Side Assistance,text+video,2,Automotive|Road-Side Assistance,0.786355675,2
119,,H,topic_slice,,,"['Automobile', 'Road']",inclusion,Automotive|Auto Parts,text+video,2,Automotive|Auto Parts,0.796000138,2
120,,H,topic_slice,,,"['Automobile', 'Road']",inclusion,Automotive|Auto Repair,text+video,2,Automotive|Auto Repair,0.781789024,2
121,,L,topic_slice,,,"['Automobile', 'Road']",inclusion,Automotive|Auto Shows,text+video,2,Automotive|Auto Shows,0.776538387,2
122,,H,topic_slice,,,"['Automobile', 'Road']",inclusion,Automotive|Auto Rentals,text+video,2,Automotive|Auto Rentals,0.771035673,2
123,,H,topic_slice,,,"['Automobile', 'Road']",inclusion,Business and Finance|Industries|Logistics and Transportation Industry,text+video,2,Business and Finance||Logistics and Transportation Industry,0.721153664,2
124,,H,topic_slice,,,"['Automobile', 'Road']",inclusion,Business and Finance|Industries|Automotive Industry,text+video,2,Business and Finance||Automotive Industry,0.7541276109999999,2
125,,H,topic_slice,,,"['Automobile', 'Road']",inclusion,Travel|Travel Locations|North America Travel,text+video,2,Travel||North America Travel,0.7375791209999999,2
126,,H,topic_slice,,,"['Automobile', 'Road']",inclusion,Travel|Travel Locations|South America Travel,text+video,2,Travel||South America Travel,0.7329757109999999,2
127,,N,topic_slice,,,"['Automobile', 'Road']",inclusion,Travel|Travel Type|Rail Travel,text+video,2,Travel||Rail Travel,0.737608433,2
128,,H,imagenet,,accessory,"['backpack', 'back pack', 'knapsack', 'packsack', 'rucksack', 'haversack']",inclusion,Travel|Travel Accessories,text+video,2,Travel|Travel Accessories,0.714945823,2
129,,N,imagenet,,ferret,['badger'],inclusion,Pets|Cats,text+video,2,Pets|Cats,0.73761621,2
130,,L,imagenet,,food,"['bagel', 'beigel']",inclusion,Business and Finance|Industries|Food Industry,text+video,2,Business and Finance||Food Industry,0.798107256,2
131,,H,imagenet,,food,"['bagel', 'beigel']",inclusion,Events and Attractions|Bars & Restaurants,text+video,2,Events and Attractions|Bars & Restaurants,0.7123146440000001,2
132,,L,imagenet,,food,"['bagel', 'beigel']",inclusion,Food & Drink,text+video,2,Food & Drink,0.8068357190000001,2
133,,H,imagenet,,food,"['bagel', 'beigel']",inclusion,Food & Drink|Cooking,text+video,2,Food & Drink|Cooking,0.765197583,2
134,,L,imagenet,,food,"['bagel', 'beigel']",inclusion,Food & Drink|Desserts and Baking,text+video,2,Food & Drink|Desserts and Baking,0.79917321,2
135,,H,imagenet,,food,"['bagel', 'beigel']",inclusion,Food & Drink|Dining Out,text+video,2,Food & Drink|Dining Out,0.7113746559999999,2
136,,H,imagenet,,food,"['bagel', 'beigel']",inclusion,Shopping|Grocery Shopping,text+video,2,Shopping|Grocery Shopping,0.728523681,2
137,,H,imagenet,,building,"['bakery', 'bakeshop', 'bakehouse']",inclusion,Food & Drink|Desserts and Baking,text+video,2,Food & Drink|Desserts and Baking,0.7370943679999999,2
138,,N,imagenet,,sports equipment,"['balance beam', 'beam']",inclusion,Automotive|Auto Body Styles,text+video,2,Automotive|Auto Body Styles,0.741988547,2
139,,H,imagenet,,sports equipment,"['balance beam', 'beam']",inclusion,Healthy Living|Fitness and Exercise,text+video,2,Healthy Living|Fitness and Exercise,0.7413849659999999,2
140,,N,imagenet,,sports equipment,"['balance beam', 'beam']",inclusion,Science|Space and Astronomy,text+video,2,Science|Space and Astronomy,0.722403757,2
141,,H,imagenet,,bird,"['bald eagle', 'American eagle', 'Haliaeetus leucocephalus']",inclusion,Pets|Birds,text+video,2,Pets|Birds,0.7857245340000001,2
142,,H,imagenet,,toy,['balloon'],inclusion,Shopping|Children's Games and Toys,text+video,2,Shopping|Children's Games and Toys,0.721945353,2
143,,N,imagenet,,person,"['ballplayer', 'baseball player']",inclusion,Hobbies & Interests|Games and Puzzles|Card Games,text+video,2,Hobbies & Interests||Card Games,0.720094453,2
144,,H,imagenet,,person,"['ballplayer', 'baseball player']",inclusion,Sports,text+video,2,Sports,0.7379699209999999,2
145,,L,imagenet,,fruit,['banana'],inclusion,Food & Drink,text+video,2,Food & Drink,0.74262365,2
146,,L,imagenet,,fruit,['banana'],inclusion,Food & Drink|Desserts and Baking,text+video,2,Food & Drink|Desserts and Baking,0.777295491,2
147,,N,imagenet,,other,['Band Aid'],inclusion,Automotive|Road-Side Assistance,text+video,2,Automotive|Road-Side Assistance,0.7612015409999999,2
148,,N,imagenet,,other,['Band Aid'],inclusion,Education|Primary Education,text+video,2,Education|Primary Education,0.711674815,2
149,,N,imagenet,,other,['Band Aid'],inclusion,Events and Attractions|Personal Celebrations & Life Events,text+video,2,Events and Attractions|Personal Celebrations & Life Events,0.7221581909999999,2
150,,N,imagenet,,other,['Band Aid'],inclusion,Events and Attractions|Religious Events,text+video,2,Events and Attractions|Religious Events,0.712308398,2
151,,N,imagenet,,other,['Band Aid'],inclusion,Events and Attractions|Theater Venues and Events,text+video,2,Events and Attractions|Theater Venues and Events,0.7356875740000001,2
152,,N,imagenet,,other,['Band Aid'],inclusion,Events and Attractions|Concerts & Music Events,text+video,2,Events and Attractions|Concerts & Music Events,0.7498305809999999,2
153,,N,imagenet,,other,['Band Aid'],inclusion,Family and Relationships|Single Life,text+video,2,Family and Relationships|Single Life,0.73389228,2
154,,N,imagenet,,other,['Band Aid'],inclusion,Hobbies & Interests|Musical Instruments,text+video,2,Hobbies & Interests|Musical Instruments,0.7477471929999999,2
155,,H,imagenet,,other,['Band Aid'],inclusion,Medical Health,text+video,2,Medical Health,0.715388713,2
156,,N,imagenet,,other,['Band Aid'],inclusion,Music and Audio,text+video,2,Music and Audio,0.769465499,2
157,,N,imagenet,,other,['Band Aid'],inclusion,Shopping|Children's Games and Toys,text+video,2,Shopping|Children's Games and Toys,0.738900599,2
158,,N,imagenet,,other,['Band Aid'],inclusion,Style & Fashion|Beauty|Nail Care,text+video,2,Style & Fashion||Nail Care,0.741235669,2
159,,N,imagenet,,other,['Band Aid'],inclusion,Style & Fashion|Women's Fashion|Women's Accessories|Women's Jewelry and Watches,text+video,2,Style & Fashion|||Women's Jewelry and Watches,0.725496453,2
160,,N,imagenet,,other,['Band Aid'],inclusion,Style & Fashion|Women's Fashion|Women's Clothing|Women's Formal Wear,text+video,2,Style & Fashion|||Women's Formal Wear,0.7222361629999999,2
161,,N,imagenet,,other,['Band Aid'],inclusion,Style & Fashion|Men's Fashion|Men's Clothing,text+video,2,Style & Fashion||Men's Clothing,0.7231608420000001,2
162,,N,imagenet,,other,['Band Aid'],inclusion,Style & Fashion|Men's Fashion|Men's Clothing|Men's Formal Wear,text+video,2,Style & Fashion|||Men's Formal Wear,0.730946848,2
163,,N,imagenet,,sports equipment,['barbell'],inclusion,Business and Finance|Industries|Apparel Industry,text+video,2,Business and Finance||Apparel Industry,0.7150982709999999,2
164,,H,imagenet,,sports equipment,['barbell'],inclusion,Sports,text+video,2,Sports,0.808636465,2
165,,N,imagenet,,furniture,['barber chair'],inclusion,Food & Drink|Dining Out,text+video,2,Food & Drink|Dining Out,0.763477417,2
166,,N,imagenet,,furniture,['barber chair'],inclusion,Home & Garden,text+video,2,Home & Garden,0.7121001570000001,2
